Order ID,Product Name,Customer ID,Quantity Sold,Sales Revenue,Order Date
10084,Gaming Mousepad,CUST5276,3,514.01,2023-03-14
10085,Smartphone X,CUST5224,8,9994.48,2023-12-06
10086,Gaming Mousepad,CUST5224,2,1928.54,2022-05-23
10087,Fast Charger,CUST5014,3,807.26,2024-02-28
10088,Ergonomic Chair,CUST5054,8,6760.91,2022-03-31
10089,Fast Charger,CUST5220,2,250.93,2024-08-02
10090,27-inch Monitor,CUST5137,3,2522.35,2022-06-06
10091,Mechanical Keyboard,CUST5247,5,2989.93,2023-01-23
10092,Smartphone X,CUST5011,8,760.73,2023-08-03
10093,Gaming Mousepad,CUST5185,7,6747.78,2023-04-30
10094,Wireless Mouse,CUST5043,2,63.20,2023-01-10
10095,Noise Cancelling Headphones,CUST5223,6,6553.66,2022-12-06
10096,Ergonomic Chair,CUST5202,7,6319.75,2024-01-07
10097,Gaming Mousepad,CUST5197,6,4593.11,2022-12-14
10098,LED Desk Lamp,CUST5290,7,3755.95,2024-07-02
10099,Ergonomic Chair,CUST5106,3,1171.40,2023-06-01
10100,Smartphone X,CUST5018,1,527.62,2023-02-23
10101,Laptop Pro,CUST5195,2,824.90,2023-08-13
10102,Smartphone X,CUST5022,2,1345.05,2023-09-30
10103,LED Desk Lamp,CUST5098,6,2683.39,2022-02-12
10104,Mechanical Keyboard,CUST5292,7,632.07,2022-02-12
10105,Wireless Mouse,CUST5061,3,3247.54,2022-02-27
10106,Wireless Mouse,CUST5042,2,1876.63,2023-01-18
10107,LED Desk Lamp,CUST5005,7,6446.88,2023-04-21
10108,Gaming Mousepad,CUST5207,4,392.00,2024-10-09
10109,LED Desk Lamp,CUST5235,6,6448.78,2022-08-23
10110,LED Desk Lamp,CUST5194,5,3263.09,2025-01-22
10111,USB-C Hub,CUST5181,4,4582.45,2022-02-21
10112,Mechanical Keyboard,CUST5071,3,1399.63,2024-04-21
10113,Tablet Lite,CUST5097,8,10089.02,2024-07-21
10114,Smartphone X,CUST5012,8,752.53,2025-01-21
10115,LED Desk Lamp,CUST5171,4,2037.85,2022-01-31
10116,Gaming Mousepad,CUST5125,5,3052.06,2025-01-17
10117,Mechanical Keyboard,CUST5063,8,3297.78,2024-03-05
10118,External SSD 1TB,CUST5144,7,1565.73,2022-07-22
10119,Ergonomic Chair,CUST5160,8,8668.98,2025-02-15
10120,Laptop Pro,CUST5205,7,1641.01,2023-08-03
10121,LED Desk Lamp,CUST5036,3,2730.70,2022-01-15
10122,Mechanical Keyboard,CUST5246,8,9415.77,2023-01-09
10123,Mechanical Keyboard,CUST5235,1,561.33,2022-07-04
10124,Noise Cancelling Headphones,CUST5174,4,1526.69,2024-12-11
10125,Fast Charger,CUST5243,6,1377.35,2024-02-02
10126,Wireless Mouse,CUST5041,7,6526.77,2022-06-07
10127,Tablet Lite,CUST5237,4,2390.00,2022-11-17
10128,Webcam HD,CUST5265,2,1135.08,2022-05-15
10129,Ergonomic Chair,CUST5274,4,3347.09,2023-08-08
10130,27-inch Monitor,CUST5159,8,1334.54,2024-11-15
10131,Noise Cancelling Headphones,CUST5292,7,5877.92,2025-02-21
10132,Wireless Mouse,CUST5264,8,5027.88,2023-02-07
10133,Ergonomic Chair,CUST5202,2,42.54,2022-08-20
10134,Smartphone X,CUST5155,3,2584.20,2024-08-08
10135,Gaming Mousepad,CUST5078,8,4345.05,2022-03-27
10136,27-inch Monitor,CUST5070,3,2724.48,2023-01-13
10137,Smartphone X,CUST5074,5,5424.64,2022-07-12
10138,Laptop Pro,CUST5106,7,7346.79,2023-06-10
10139,Tablet Lite,CUST5176,6,5505.61,2024-03-20
10140,27-inch Monitor,CUST5289,1,236.15,2022-04-25
10141,Wireless Mouse,CUST5137,7,6784.90,2022-06-05
10142,Fast Charger,CUST5203,2,1601.43,2023-01-29
10143,Noise Cancelling Headphones,CUST5074,8,8323.52,2025-03-28
10144,Ergonomic Chair,CUST5256,7,6762.73,2024-05-26
10145,Ergonomic Chair,CUST5138,3,2417.79,2024-12-18
10146,Laptop Pro,CUST5184,2,1348.51,2023-07-24
10147,Wireless Mouse,CUST5087,5,1738.03,2024-02-05
10148,Braided USB Cable,CUST5071,5,4735.52,2024-07-21
10149,USB-C Hub,CUST5252,1,502.79,2024-11-16
10150,LED Desk Lamp,CUST5182,2,2116.86,2022-06-04
10151,Braided USB Cable,CUST5094,7,9114.69,2023-11-13
10152,LED Desk Lamp,CUST5209,7,5241.04,2022-11-18
10153,LED Desk Lamp,CUST5175,7,6987.69,2022-08-01
10154,Webcam HD,CUST5235,2,1081.92,2022-12-02
10155,Noise Cancelling Headphones,CUST5210,1,518.88,2024-04-17
10156,LED Desk Lamp,CUST5159,4,3503.05,2022-08-29
10157,LED Desk Lamp,CUST5011,1,84.00,2022-05-03
10158,LED Desk Lamp,CUST5016,4,4460.43,2022-09-23
10159,Webcam HD,CUST5087,4,1021.63,2023-01-27
10160,Braided USB Cable,CUST5077,7,1159.09,2022-03-21
10161,Webcam HD,CUST5070,3,1864.81,2024-10-06
10162,External SSD 1TB,CUST5004,2,1563.08,2024-04-16
10163,Braided USB Cable,CUST5094,6,7111.17,2022-11-07
10164,Noise Cancelling Headphones,CUST5073,4,876.57,2025-01-26
10165,Ergonomic Chair,CUST5283,4,4398.12,2024-02-15
10166,Fast Charger,CUST5102,7,4178.46,2024-07-04
10167,Laptop Pro,CUST5208,3,2112.50,2025-02-28
10168,USB-C Hub,CUST5288,8,842.87,2025-01-21
10169,Laptop Pro,CUST5105,4,2437.17,2024-11-06
10170,Laptop Pro,CUST5238,3,2832.61,2024-01-04
10171,Braided USB Cable,CUST5188,4,3235.89,2023-05-09
10172,Wireless Mouse,CUST5073,2,914.46,2022-12-31
10173,USB-C Hub,CUST5221,2,760.31,2023-06-13
10174,27-inch Monitor,CUST5250,1,177.76,2022-06-20
10175,Ergonomic Chair,CUST5106,6,5149.74,2023-04-04
10176,Mechanical Keyboard,CUST5275,6,2653.04,2024-06-22
10177,Tablet Lite,CUST5114,4,3803.59,2023-05-06
10178,Gaming Mousepad,CUST5227,3,678.41,2024-01-09
10179,Noise Cancelling Headphones,CUST5080,4,1274.59,2024-05-12
10180,Smartphone X,CUST5042,1,987.35,2022-11-26
10181,LED Desk Lamp,CUST5109,4,1585.51,2023-12-27
10182,Tablet Lite,CUST5028,7,7220.45,2024-06-26
10183,Tablet Lite,CUST5197,5,3443.72,2024-02-02
10184,Laptop Pro,CUST5213,1,899.12,2024-12-23
10185,Ergonomic Chair,CUST5266,6,169.32,2022-01-18
10186,LED Desk Lamp,CUST5056,8,8570.36,2022-12-03
10187,Smartphone X,CUST5179,4,2562.31,2022-04-26
10188,Noise Cancelling Headphones,CUST5050,3,394.28,2022-01-24
10189,27-inch Monitor,CUST5168,8,7791.98,2023-06-25
10190,External SSD 1TB,CUST5080,2,2118.41,2022-10-20
10191,Ergonomic Chair,CUST5071,5,5928.67,2024-03-08
10192,Laptop Pro,CUST5250,4,955.02,2023-02-13
10193,Braided USB Cable,CUST5225,8,3608.00,2023-07-07
10194,Laptop Pro,CUST5177,7,6203.00,2023-03-28
10195,Gaming Mousepad,CUST5276,5,2276.19,2022-07-12
10196,Gaming Mousepad,CUST5186,7,8634.28,2024-10-06
10197,LED Desk Lamp,CUST5288,4,1423.74,2023-03-31
10198,Smartphone X,CUST5078,8,1702.16,2022-08-03
10199,Ergonomic Chair,CUST5275,8,5657.60,2024-09-23
10200,Ergonomic Chair,CUST5074,3,944.46,2024-01-18
